阿旗220千伏输变电站建设工程建筑面积为38487平方米监管中心迁建项目52655651,总投资1720万元电力改迁工程,http://www.qianlima.com/zb/detail/20170317_52655651.html,三门峡,商业,设计阶段,公用事业设施,不装修,1720万,2017-05-18
38438621,总建筑面积约17500平方米中学建设项目,http://www.qianlima.com/zb/detail/20160628_38438621.html,凉山彝族自治州,政府,施工准备,教育及研究,简装修,2800万,2017-02-04
51696381,占地面积7587平方米厂房建设项目,http://www.qianlima.com/zb/detail/20170301_51696381.html,盐城,商业,立项,办公楼,工业,不装修,5000万,2017-03-02
56162169,总建筑面积约为156000平方米5万吨食品冷链加工及配送工业发展建设项目,http://www.qianlima.com/zb/detail/20170515_56162169.html,重庆,商业,设计阶段,商业及零售,工业,交通,简装修,30000万,2017-05-23
54609814,总建筑面积约为44070平方米住宅楼三期建设项目,http://www.qianlima.com/zb/detail/20170419_54609814.html,漯河,商业,立项,住宅,不装修,7000万,2017-04-20
49466800,年洗选60万吨煤炭项目,http://www.qianlima.com/zb/detail/20170104_49466800.html,焦作,商业,立项,工业,开采,不装修,未确定,2017-01-17
34489693,长度为600米公路新建工程,http://www.qianlima.com/zb/detail/20160401_34489693.html,茂名,政府,设计阶段,基础建设,未确定,未确定,2017-03-07
52019442,总建筑面积为19888平方米住宅建设项目,http://www.qianlima.com/zb/detail/20170307_52019442.html,眉山,政府,施工准备,住宅,不装修,5000万,2017-03-08
52074050,总投资3000万元热电联产三期扩建工程,http://www.qianlima.com/zb/detail/20170308_52074050.html,景德镇,商业,立项,公用事业设施,不装修,3000万,2017-03-09
16834506,中学改扩建工程,http://www.qianlima.com/zb/detail/20140917_16834506.html,成都,商业,施工在建,教育及研究,简装修,17700万,2017-04-10
49888596,总占地面积200000平方米金矿采矿工程,http://www.qianlima.com/zb/detail/20170112_49888596.html,陇南,商业,立项,开采,不装修,3000万,2017-01-19
38070785,总建筑面积为17500平方米群众文化广场项目,http://www.qianlima.com/zb/detail/20160621_38070785.html,恩施土家族苗族自治州,政府,施工在建,休闲娱乐,未确定,3000万,2017-03-01
17368123,面积约50000平方米景观提升工程,http://www.qianlima.com/zb/detail/20141013_17368123.html,宿迁,商业,施工在建,会展,简装修,未确定,2017-03-07
55847705,马南大道(玉兰大道西段-温新立交)道路工程,http://www.qianlima.com/zb/detail/20170510_55847705.html,重庆,商业,设计阶段,基础建设,未确定,5000万,2017-05-23
42377510,全长约52公里域铁路S1线(一期)铁路线建设项目,http://www.qianlima.com/zb/detail/20160914_42377510.html,温州,政府,施工在建,基础建设,不装修,1520000万,2017-01-06
20899642,建筑面积45000平方米医院门诊病房综合楼项目,http://www.qianlima.com/zb/detail/20150309_20899642.html,淄博,商业,施工准备,医疗,精装修,未确定,2017-01-16
